form	lemma	POS	morph
ཀ་	ཀ་	DET
བློ་གསལ་	བློ་གསལ་	OTHER
གྱིས་	གིས་	PART
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
༑		PUNCT
		
		
		
༑		PUNCT
		
ནང་	ནང་	NOUN
		
		
བཤེས་པ་	བཤེས་པ་	VERB
འི་	གི་	PART
སྤྲིང་ཡིག་	སྤྲིང་ཡིག་	OTHER
བཞུགས་	བཞུགས་	VERB
།		PUNCT
གཞོན་ནུ་	གཞོན་ནུ་	ADJ
བློ་གྲོས་	བློ་གྲོས་	NOUN
ཀྱིས་	གིས་	PART
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
དྲེགས་པ་	དྲེགས་པ་	VERB
ཀུན་	ཀུན་	DET
འདུལ་	འདུལ་	NO_POS
གྱི་	གི་	PART
གདམས་པ་	གདམས་པ་	VERB
ཁྱད་པར་ཅན་	ཁྱད་པར་ཅན་	ADJ
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
པད་མ་	པད་མ་	NOUN
འི་	གི་	PART
ཐུགས་	ཐུགས་	NOUN
སྤྲུལ་	སྤྲུལ་	VERB
བསོད་ནམས་	བསོད་ནམས་	NOUN
རྒྱལ་མཚན་	རྒྱལ་མཚན་	NOUN
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
༑		PUNCT
		
ནང་	ནང་	NOUN
		
		
དྲེགས་པ་	དྲེགས་པ་	VERB
ཀུན་	ཀུན་	DET
འདུལ་	འདུལ་	NO_POS
གྱི་	གི་	PART
གདམས་པ་	གདམས་པ་	VERB
ཁྱད་པར་ཅན་	ཁྱད་པར་ཅན་	ADJ
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
པད་མ་	པད་མ་	NOUN
འི་	གི་	PART
ཐུགས་	ཐུགས་	NOUN
སྤྲུལ་	སྤྲུལ་	VERB
བསོད་ནམས་	བསོད་ནམས་	NOUN
རྒྱལ་མཚན་	རྒྱལ་མཚན་	NOUN
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
༑		PUNCT
		
ནང་	ནང་	NOUN
		
		
སྡིག་པ་	སྡིག་པ་	VERB
དམར་ནག་	དམར་ནག་	NO_POS
གི་	གི་	PART
བཅའ་	བཅའ་	VERB
ལུགས་	ལུགས་	NOUN
སོ་	གོ་	PART
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
༑		PUNCT
		
ནང་	ནང་	NOUN
		
		
དྲེགས་པ་	དྲེགས་པ་	VERB
ཉི་ཤུ་	ཉི་ཤུ་	NUM
འི་	གི་	PART
ལག་ལེན་	ལག་ལེན་	NOUN
ལྟས་ངན་	ལྟས་ངན་	NOUN
སྲོག་	སྲོག་	NOUN
གི་	གི་	PART
སྤུ་གྲི་	སྤུ་གྲི་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
༑		PUNCT
		
ནང་	ནང་	NOUN
		
		
དམར་པོ་	དམར་པོ་	ADJ
སྐོར་	སྐོར་	NOUN
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
དཔེ་རིས་	དཔེ་རིས་	OTHER
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
༑		PUNCT
		
ནང་	ནང་	NOUN
		
		
དམར་པོ་	དམར་པོ་	ADJ
སྐོར་	སྐོར་	NOUN
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
དཔེ་རིས་	དཔེ་རིས་	OTHER
ཀྱི་	གི་	PART
དྭོགས་		NON_WORD
གཅོད་	གཅོད་	NO_POS
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
༑		PUNCT
		
ནང་	ནང་	NOUN
		
		
ཡང་གསང་	ཡང་གསང་	OTHER
གི་	གི་	PART
གཏོ་	གཏོ་	VERB
བཟློག་	བཟློག་	VERB
དྭོགས་		NON_WORD
གཅོད་	གཅོད་	NO_POS
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
༑		PUNCT
		
ནང་	ནང་	NOUN
		
		
གུ་	གུ་	NOUN
གྱི་	གི་	PART
དཔེ་རིས་	དཔེ་རིས་	OTHER
དྭོགས་		NON_WORD
གཅོད་	གཅོད་	NO_POS
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
༑		PUNCT
		
ནང་	ནང་	NOUN
		
		
གཉན་	གཉན་	OTHER
མགོན་	མགོན་	NOUN
ཞལ་	ཞལ་	NOUN
གྱི་	གི་	PART
དཔེ་རིས་	དཔེ་རིས་	OTHER
ཀྱི་	གི་	PART
དྭོགས་		NON_WORD
གཅོད་	གཅོད་	NO_POS
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
༑		PUNCT
		
ནང་	ནང་	NOUN
		
		
དཔལ་	དཔལ་	OTHER
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
ནག་པོ་	ནག་པོ་	ADJ
ཆེན་པོ་	ཆེན་པོ་	ADJ
གུ་	གུ་	NOUN
གྱི་	གི་	PART
མགོན་པོ་	མགོན་པོ་	NOUN
འི་	གི་	PART
སྐུ་རྟེན་	སྐུ་རྟེན་	NO_POS
བཞེངས་	བཞེངས་	NO_POS
ཚུལ་	ཚུལ་	NOUN
ཁྱད་པར་	ཁྱད་པར་	NOUN
གྱི་	གི་	PART
རབ་གནས་	རབ་གནས་	NOUN
བྱ་	བྱ་	VERB
ཚུལ་	ཚུལ་	NOUN
གསལ་བ་	གསལ་བ་	VERB
འི་	གི་	PART
མེ་ལོང་	མེ་ལོང་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
འ་		NON_WORD
ཞྭའི་		NON_WORD
བཙུན་པ་	བཙུན་པ་	NOUN
མགོན་པོ་	མགོན་པོ་	NOUN
བསོད་ནམས་	བསོད་ནམས་	NOUN
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
༑		PUNCT
		
ནང་	ནང་	NOUN
		
		
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
མ་	མ་	PART
ནཱ་	ནཱ་	NO_POS
རོ་	རོ་	NOUN
མཁའ་སྤྱོད་	མཁའ་སྤྱོད་	NOUN
ཀྱི་	གི་	PART
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
ཐུན་མོང་	ཐུན་མོང་	ADJ
མིན་པ་	མིན་པ་	VERB
འི་	གི་	PART
ཡིག་ཆུང་	ཡིག་ཆུང་	OTHER
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
༑		PUNCT
		
ནང་	ནང་	NOUN
		
		
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
མ་	མ་	PART
ནཱ་	ནཱ་	NO_POS
རོ་	རོ་	NOUN
མཁའ་སྤྱོད་	མཁའ་སྤྱོད་	NOUN
ཀྱི་	གི་	PART
མཁའ་སྤྱོད་	མཁའ་སྤྱོད་	NOUN
བསྒྲུབ་པ་	བསྒྲུབ་པ་	VERB
འི་	གི་	PART
གསེར་ཆོས་	གསེར་ཆོས་	NOUN
ཚིག་	ཚིག་	NOUN
བརྒྱུད་	བརྒྱུད་	NO_POS
བཞུགས་	བཞུགས་	VERB
།		PUNCT
ཚ་	ཚ་	VERB
ཆེན་	ཆེན་	NO_POS
བློ་གསལ་	བློ་གསལ་	OTHER
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
༑		PUNCT
		
ནང་	ནང་	NOUN
		
		
འདོད་རྒྱལ་	འདོད་རྒྱལ་	NO_POS
གྱི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
འི་	གི་	PART
དྭོགས་		NON_WORD
གཅོད་	གཅོད་	NO_POS
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
༑		PUNCT
		
ནང་	ནང་	NOUN
		
		
རྗེས་གནང་	རྗེས་གནང་	NOUN
གི་	གི་	PART
རིམ་པ་	རིམ་པ་	NOUN
ཟུར་བཀོལ་	ཟུར་བཀོལ་	OTHER
འགའ་ཞིག་	འགའ་ཞིག་	OTHER
མཁོ་	མཁོ་	NO_POS
ཆགས་	ཆགས་	VERB
སུ་	ལ་	PART
བཀོད་པ་	བཀོད་པ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
༑		PUNCT
		
ནང་	ནང་	NOUN
		
		
ཟིན་བྲིས་	ཟིན་བྲིས་	OTHER
ཀྱི་	གི་	PART
ཐོ་	ཐོ་	NOUN
རྗེ་	རྗེ་	NO_POS
བཀྲིས་	བཀྲིས་	OTHER
ཀུན་དག་	ཀུན་དགའ་	PROPN
འི་	གི་	PART
གསུང་རྒྱུན་	གསུང་རྒྱུན་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
༑		PUNCT
		
ནང་	ནང་	NOUN
		
		
གིང་		NON_WORD
སྐུ་	སྐུ་	NOUN
མཆོག་	མཆོག་	ADJ
དམར་པོ་	དམར་པོ་	ADJ
འི་	གི་	PART
རྒྱུད་	རྒྱུད་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
གཟུ་	གཟུ་	NO_POS
ས་	གིས་	PART
སྟོན་	སྟོན་	VERB
རིན་ཆེན་	རིན་ཆེན་	OTHER
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
འི་	གི་	PART
མཚོན་ཆ་	མཚོན་ཆ་	NOUN
འོ་	གོ་	PART
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
༑		PUNCT
		
ནང་	ནང་	NOUN
		
		
མུ་སྟེགས་	མུ་སྟེགས་	NOUN
དྲག་སྔགས་	དྲག་སྔགས་	NOUN
ནག་པོ་	ནག་པོ་	ADJ
འི་	གི་	PART
རྒྱུད་	རྒྱུད་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
༑		PUNCT
		
ནང་	ནང་	NOUN
ཁ་	ཁ་	PRON
		
		
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
འི་	གི་	PART
སྔགས་	སྔགས་	NOUN
ཐེམས་	ཐེམས་	NO_POS
གནད་གསང་	གནད་གསང་	NO_POS
ལྷུག་	ལྷུག་	NO_POS
བཀྲོལ་	བཀྲོལ་	VERB
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
༑		PUNCT
		
ནང་	ནང་	NOUN
ཁ་	ཁ་	PRON
		
		
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
སྐུ་ལྔ་	སྐུ་ལྔ་	OTHER
སོགས་	སོགས་	DET
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
ལ་ཉེ་	ལ་ཉེ་	NO_POS
བ་	བ་	NOUN
མཁོ་བ་	མཁོ་བ་	VERB
འི་	གི་	PART
སྤེལ་ཚིག་	སྤེལ་ཚིག་	NO_POS
ཁ་ཤ་	ཁ་ཤ་	OTHER
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
༑		PUNCT
		
ནང་	ནང་	NOUN
		
		
རྟེན་	རྟེན་	NOUN
ལ་	ལ་	PART
གཟུངས་གཞུག་	གཟུངས་གཞུག་	OTHER
འབུལ་	འབུལ་	NO_POS
ཚུལ་	ཚུལ་	NOUN
ཤེལ་དཀར་	ཤེལ་དཀར་	NOUN
མེ་ལོང་	མེ་ལོང་	NOUN
སོགས་	སོགས་	DET
གཟུངས་	གཟུངས་	NOUN
འབུམ་	འབུམ་	NUM
སྐོར་	སྐོར་	NOUN
དང་	དང་	NO_POS
གཟུངས་གཞུག་	གཟུངས་གཞུག་	OTHER
རབ་གནས་	རབ་གནས་	NOUN
རྒྱས་པ་	རྒྱས་པ་	VERB
བཅའ་	བཅའ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
སྤང་	སྤང་	VERB
ལུང་	ལུང་	NOUN
བློ་བཟང་	བློ་བཟང་	PROPN
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
ཐེག་ཆེན་	ཐེག་ཆེན་	NOUN
རྒྱུ་	རྒྱུ་	NOUN
དང་	དང་	NO_POS
འབྲས་བུ་	འབྲས་བུ་	NOUN
འི་	གི་	PART
ལམ་	གམ་	PART
སོ་སོ་	སོ་སོ་	PRON
འི་	གི་	PART
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
གདམས་པ་	གདམས་པ་	VERB
དབང་པོ་	དབང་པོ་	NOUN
འི་	གི་	PART
ལེའུ་	ལེའུ་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
པྲཛྙཱའི་		NON_WORD
མིང་ཅན་	མིང་ཅན་	NOUN
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
འདི་	འདི་	DET
ར་	ལ་	PART
སྔགས་ལམ་	སྔགས་ལམ་	NO_POS
ལ་	ལ་	PART
འཇུག་	འཇུག་	VERB
སྒོ་	སྒོ་	NOUN
འི་	གི་	PART
ཆོས་སྐོར་	ཆོས་སྐོར་	NOUN
འགའ་	འགའ་	DET
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
པྲཛྙཱའི་		NON_WORD
མིང་ཅན་	མིང་ཅན་	NOUN
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
དྲིལ་སྒྲུབ་	དྲིལ་སྒྲུབ་	OTHER
ཀྱི་	གི་	PART
དོན་	དོན་	NOUN
དབང་	དབང་	NOUN
གི་	གི་	PART
མཚམས་	མཚམས་	NOUN
སྦྱོར་	སྦྱོར་	VERB
ཉུང་ངུ་	ཉུང་ངུ་	ADJ
ར་	ལ་	PART
བསྡུས་པ་	བསྡུས་པ་	VERB
སྨིན་	སྨིན་	VERB
བྱེད་	བྱེད་	VERB
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
ནོར་བུ་	ནོར་བུ་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
འཇམ་དབྱངས་	འཇམ་དབྱངས་	PROPN
མཁྱེན་བརྩེ་	མཁྱེན་བརྩེ་	PROPN
འི་	གི་	PART
དབང་པོ་	དབང་པོ་	NOUN
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
དྲིལ་སྒྲུབ་	དྲིལ་སྒྲུབ་	OTHER
ཀྱི་	གི་	PART
ཚེ་དབང་	ཚེ་དབང་	PROPN
སྙིང་པོ་	སྙིང་པོ་	NOUN
ར་	ལ་	PART
དྲིལ་བ་	དྲིལ་བ་	VERB
འཆི་མེད་	འཆི་མེད་	NOUN
གྲུབ་པ་	གྲུབ་པ་	VERB
འི་	གི་	PART
ནོར་བུ་	ནོར་བུ་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
འཇམ་དབྱངས་	འཇམ་དབྱངས་	PROPN
མཁྱེན་བརྩེ་	མཁྱེན་བརྩེ་	PROPN
འི་	གི་	PART
དབང་པོ་	དབང་པོ་	NOUN
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
དགོས་	དགོས་	VERB
འགྲེལ་	འགྲེལ་	NOUN
གྱི་	གི་	PART
བསྟན་བཅོས་	བསྟན་བཅོས་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
རྣམ་བཤད་	རྣམ་བཤད་	NOUN
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
རྒྱན་	རྒྱན་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
སྐབས་	སྐབས་	NOUN
གཉིས་པ་	གཉིས་པ་	NUM
འི་	གི་	PART
རྣམ་བཤད་	རྣམ་བཤད་	NOUN
ལེགས་བཤད་	ལེགས་བཤད་	NOUN
སྙིང་པོ་	སྙིང་པོ་	NOUN
བཞུགས་	བཞུགས་	VERB
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
ཤེར་ཕྱིན་	ཤེར་ཕྱིན་	PROPN
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
གཅོད་པ་	གཅོད་པ་	VERB
འི་	གི་	PART
བཤད་སྦྱར་	བཤད་སྦྱར་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
ཤེས་རབ་	ཤེས་རབ་	NOUN
ཀྱི་	གི་	PART
ཕ་རོལ་	ཕ་རོལ་	NOUN
དུ་	ལ་	PART
ཕྱིན་པ་	ཕྱིན་པ་	VERB
འི་	གི་	PART
མཐའ་དཔྱོད་	མཐའ་དཔྱོད་	OTHER
ནོར་བུ་	ནོར་བུ་	NOUN
འི་	གི་	PART
ཕྲེང་	ཕྲེང་	OTHER
མཛེ་	མཛེ་	VERB
མཁས་པ་	མཁས་པ་	VERB
འི་	གི་	PART
མགུལ་རྒྱན་	མགུལ་རྒྱན་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
སྐབས་	སྐབས་	NOUN
གཉིས་པ་	གཉིས་པ་	NUM
འི་	གི་	PART
མཐའ་དཔྱོད་	མཐའ་དཔྱོད་	OTHER
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
སྐྱེས་བུ་	སྐྱེས་བུ་	NOUN
འབྲིང་	འབྲིང་	NOUN
གི་	གི་	PART
ཁྲིད་ཡིག་	ཁྲིད་ཡིག་	NOUN
བཞུགས་	བཞུགས་	VERB
།		PUNCT
འབྲུ་	འབྲུ་	NOUN
ཚ་	ཚ་	VERB
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
འཆི་མེད་	འཆི་མེད་	NOUN
དྷུ་		NON_WORD
རླུང་	རླུང་	NOUN
གདམས་པ་	གདམས་པ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
གནས་	གནས་	NOUN
གས་	གསའ་	NO_POS
ར་བ་	ར་བ་	PART
ཆེན་པོ་	ཆེན་པོ་	ADJ
ངག་དབང་	ངག་དབང་	PROPN
ཀུན་དགའ་	ཀུན་དགའ་	PROPN
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
སྨན་བླ་	སྨན་བླ་	OTHER
འི་	གི་	PART
མདོ་	མདོ་	NOUN
ཆོག་	ཆོག་	VERB
དང་	དང་	NO_POS
འབྲེལ་བ་	འབྲེལ་བ་	VERB
འི་	གི་	PART
གཞན་ཕན་	གཞན་ཕན་	OTHER
ཉེ་	ཉེ་	NUM
མཁོ་	མཁོ་	NO_POS
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
ཞྭ་	ཞྭ་	NO_POS
ལུ་བ་	ལུ་བ་	VERB
བློ་གསལ་	བློ་གསལ་	OTHER
བསྟན་	བསྟན་	VERB
སྐྱོང་	སྐྱོང་	VERB
ཡིན་	ཡིན་	NO_POS
ནམ་	གམ་	PART
དཔྱད་	དཔྱད་	VERB
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
ཐམས་ཅད་	ཐམས་ཅད་	DET
མཁྱེན་པ་	མཁྱེན་པ་	VERB
བུ་	བུ་	NOUN
སྟོན་	སྟོན་	VERB
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
འི་	གི་	PART
གསན་	གསན་	NO_POS
ཡིག་	ཡིག་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
བསྟོད་པ་	བསྟོད་པ་	VERB
ལེགས་པ་	ལེགས་པ་	VERB
ར་	ལ་	PART
བཤད་པ་	བཤད་པ་	VERB
འི་	གི་	PART
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
བསྡུས་དོན་	བསྡུས་དོན་	NOUN
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
དོན་	དོན་	NOUN
གསལ་བྱེད་	གསལ་བྱེད་	NOUN
ཅེས་བྱ་བ་	ཅེས་བྱ་བ་	NO_POS
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
བློ་	བློ་	NOUN
རིན་ཆེན་	རིན་ཆེན་	OTHER
སེང་གེ་	སེང་གེ་	NOUN
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
འཕགས་མ་	འཕགས་མ་	OTHER
སྒྲོལ་མ་	སྒྲོལ་མ་	PROPN
འི་	གི་	PART
མནྚལ་		NON_WORD
བཞི་པ་	བཞི་པ་	ADJ
འི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
དགུ་	དགུ་	NUM
འི་	གི་	PART
ཆ་	ཆ་	NOUN
ར་	ལ་	PART
འབེབས་	འབེབས་	VERB
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
།		PUNCT
རྡོ་	རྡོ་	NOUN
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
གཤིན་རྗེ་	གཤིན་རྗེ་	OTHER
འི་	གི་	PART
གཤེད་	གཤེད་	NOUN
དམར་པོ་	དམར་པོ་	ADJ
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
བུ་	བུ་	VERB
མཛད་པ་	མཛད་པ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
ཤཱཀྱའི་		NON_WORD
དགེ་སློང་	དགེ་སློང་	NOUN
རིན་ཆེན་	རིན་ཆེན་	OTHER
གྲུབ་	གྲུབ་	VERB
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
དཔལ་	དཔལ་	OTHER
གྲོ་	གྲོ་	NOUN
ལུང་བ་	ལུང་བ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
ས་	གིས་	PART
མཛད་པ་	མཛད་པ་	VERB
འི་	གི་	PART
འགྲེལ་ཆེན་	འགྲེལ་ཆེན་	NOUN
གྱི་	གི་	PART
རྣམ་བཤད་	རྣམ་བཤད་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
བློ་གྲོས་	བློ་གྲོས་	NOUN
འབྱུང་གནས་	འབྱུང་གནས་	NOUN
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
ཁྲི་ཆེན་	ཁྲི་ཆེན་	PROPN
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
ནོ་	གོ་	PART
མིན་	མིན་	AUX
ཧན་	ཧན་	PROPN
ས་	ས་	ADP
མ་	མ་	PART
རི་	རི་	NOUN
པཀྴི་		NON_WORD
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འཆང་	འཆང་	NO_POS
ངག་དབང་	ངག་དབང་	PROPN
ཚུལ་ཁྲིམས་	ཚུལ་ཁྲིམས་	NOUN
དཔལ་	དཔལ་	OTHER
བཟང་པོ་	བཟང་པོ་	ADJ
འི་	གི་	PART
སྐྱེས་རབས་	སྐྱེས་རབས་	NOUN
རྣམ་ཐར་	རྣམ་ཐར་	NOUN
དང་པ་	དང་པ་	NO_POS
འི་	གི་	PART
སྒོ་	སྒོ་	NOUN
འབྱེད་	འབྱེད་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
ཆོས་སྲིད་	ཆོས་སྲིད་	NOUN
ཡོངས་	ཡོངས་	DET
ཀྱི་	གི་	PART
བདག་པོ་	བདག་པོ་	NOUN
ར་	ལ་	PART
